WORKTYPECODE,COUNTY,YEAR2018,YEAR2019,YEAR2020,B_Campo1,B_code,Description,Group,WTBIN1,WTBIN2,WTBIN3,WTBIN4,WTBIN5,WTBIN6,WTBIN7,WTBIN8,C_Campo1,District,No,C_code,Name,Unnamed: 5,CBIN1,CBIN2,CBIN3,CBIN4,CBIN5,CBIN6,CBIN7
1555,C050,14,0,0,38,1555,Milled Rumble Strips,10,0,0,1,0,0,1,1,0,49,1,50,C050,Jasper,Jasper,0,1,1,0,0,0,1
2012,C006,0,0,0,41,2012,Bridge New-CCS,9,0,0,1,0,1,0,0,1,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
2012,C052,0,0,987,41,2012,Bridge New-CCS,9,0,0,1,0,1,0,0,1,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
2013,C006,1719,0,2028,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,5,6,6,C006,Benton,Benton,0,0,0,0,1,0,1
2013,C007,3300,0,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,6,2,7,C007,Black Hawk,Black Hawk,0,0,0,0,1,1,0
2013,C016,0,1689,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,15,6,16,C016,Cedar,Cedar,0,0,0,1,1,1,1
2013,C029,0,2322,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,28,5,29,C029,Des Moines,Des Moines,0,0,1,1,1,0,0
2013,C031,18888,2276,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,30,6,31,C031,Dubuque,Dubuque,0,0,1,1,1,1,0
2013,C052,0,0,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
2013,C077,0,0,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
2013,C078,3310,2100,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
2013,C086,7257,0,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,85,1,86,C086,Tama,Tama,1,0,1,0,1,0,1
2013,C097,1779,0,0,42,2013,Bridge New-PPCB,9,0,0,1,0,1,0,1,0,96,3,97,C097,Woodbury,Woodbury,1,1,0,0,0,0,0
